Row ID,Issue shape,Persona,Expected value (ground truth),Round1 reply,Round2 reply,Round3 reply,Resolution round,Final workflow status
R000057,wrong-option,over-verbose,Supplier declaration,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Supplier declaration. Let us know if anything else is needed.",,,1,Closed
R000064,placeholder,over-verbose,Yes,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Yes. Let us know if anything else is needed.",,,1,Closed
R000066,stale,over-verbose,Supplier declaration,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Supplier declaration. Let us know if anything else is needed.",,,1,Closed
R000067,vague-freetext,over-verbose,Complaint,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Complaint. Let us know if anything else is needed.",,,1,Closed
R000068,vague-freetext,over-verbose,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for declaration of comformidity, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000071,stale,over-verbose,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for declaration of comformidity, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000076,blank,over-verbose,Supplier declaration and material declaration,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Supplier declaration and material declaration. Let us know if anything else is needed.",,,1,Closed
R000078,vague-freetext,over-verbose,This product does not contain any GADSL listet substances,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: This product does not contain any GADSL listet substances. Let us know if anything else is needed.",,,1,Closed
R000080,blank,over-verbose,Supplier declaration and material declaration,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Supplier declaration and material declaration. Let us know if anything else is needed.",,,1,Closed
R000084,wrong-format,over-verbose,Yes,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Yes. Let us know if anything else is needed.",,,1,Closed
R000086,stale,over-verbose,Supplier declaration,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Supplier declaration. Let us know if anything else is needed.",,,1,Closed
R000090,stale,over-verbose,Not Compliant,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Not Compliant. Let us know if anything else is needed.",,,1,Closed
R000091,stale,over-verbose,"Confirmed per supplier declaration for please state eu foodlaw status of your product incl. the relevant paragpraph, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for please state eu foodlaw status of your product incl. the relevant paragpraph, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000093,blank,over-verbose,Listed,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Listed. Let us know if anything else is needed.",,,1,Closed
R000096,blank,over-verbose,Yes,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Yes. Let us know if anything else is needed.",,,1,Closed
R000098,wrong-option,over-verbose,Presumption (without evidence),"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Presumption (without evidence). Let us know if anything else is needed.",,,1,Closed
R000099,vague-freetext,over-verbose,Exempt,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Exempt. Let us know if anything else is needed.",,,1,Closed
R000100,blank,over-verbose,"Confirmed per supplier declaration for please state foodlaw status of your product incl. the relevant us fda paragpraph, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for please state foodlaw status of your product incl. the relevant us fda paragpraph, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000104,stale,over-verbose,Supplier declaration and laboratory analysis,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Supplier declaration and laboratory analysis. Let us know if anything else is needed.",,,1,Closed
R000107,placeholder,over-verbose,Presumption (without evidence),"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Presumption (without evidence). Let us know if anything else is needed.",,,1,Closed
R000110,vague-freetext,over-verbose,Material declaration and laboratory ananlysis,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Material declaration and laboratory ananlysis. Let us know if anything else is needed.",,,1,Closed
R000112,blank,over-verbose,"Confirmed per supplier declaration for substance, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for substance, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000113,placeholder,over-verbose,Material declaration,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Material declaration. Let us know if anything else is needed.",,,1,Closed
R000117,placeholder,over-verbose,Exempt,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Exempt. Let us know if anything else is needed.",,,1,Closed
R000119,placeholder,over-verbose,Material declaration,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Material declaration. Let us know if anything else is needed.",,,1,Closed
R000120,vague-freetext,over-verbose,Complaint,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Complaint. Let us know if anything else is needed.",,,1,Closed
R000121,wrong-format,over-verbose,"Confirmed per supplier declaration for substance, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for substance, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000123,blank,over-verbose,Not Compliant,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Not Compliant. Let us know if anything else is needed.",,,1,Closed
R000127,blank,over-verbose,"Confirmed per supplier declaration for substance, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for substance, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000129,vague-freetext,over-verbose,Exempt,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Exempt. Let us know if anything else is needed.",,,1,Closed
R000130,wrong-option,over-verbose,"Confirmed per supplier declaration for substance, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for substance, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000131,wrong-option,over-verbose,Material declaration,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Material declaration. Let us know if anything else is needed.",,,1,Closed
R000133,stale,over-verbose,"Confirmed per supplier declaration for substance, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for substance, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000134,placeholder,over-verbose,Supplier declaration and material declaration,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Supplier declaration and material declaration. Let us know if anything else is needed.",,,1,Closed
R000135,wrong-format,over-verbose,Not Compliant,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Not Compliant. Let us know if anything else is needed.",,,1,Closed
R000139,wrong-format,over-verbose,"Confirmed per supplier declaration for substance, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for substance, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000140,placeholder,over-verbose,Material declaration and laboratory ananlysis,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Material declaration and laboratory ananlysis. Let us know if anything else is needed.",,,1,Closed
R000141,wrong-option,over-verbose,"Confirmed per supplier declaration for substance name, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for substance name, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000143,stale,over-verbose,"Confirmed per supplier declaration for substance concentration (in %)
the concentration of the substance as a percentage of the homogeneous mass of the material., evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for substance concentration (in %)
the concentration of the substance as a percentage of the homogeneous mass of the material., evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000145,stale,over-verbose,"Confirmed per supplier declaration for substance name, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for substance name, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000146,placeholder,over-verbose,"Confirmed per supplier declaration for cas no. , evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for cas no. , evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000154,placeholder,over-verbose,"Confirmed per supplier declaration for cas no. , evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for cas no. , evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000155,vague-freetext,over-verbose,"Confirmed per supplier declaration for substance concentration (in %)
the concentration of the substance as a percentage of the homogeneous mass of the material., evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for substance concentration (in %)
the concentration of the substance as a percentage of the homogeneous mass of the material., evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000159,wrong-option,over-verbose,"Confirmed per supplier declaration for substance concentration (in %)
the concentration of the substance as a percentage of the homogeneous mass of the material., evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for substance concentration (in %)
the concentration of the substance as a percentage of the homogeneous mass of the material., evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000160,wrong-format,over-verbose,"Confirmed per supplier declaration for additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method., evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method., evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000161,stale,over-verbose,"Confirmed per supplier declaration for substance name, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for substance name, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000164,stale,over-verbose,"Confirmed per supplier declaration for additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method., evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method., evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000170,stale,over-verbose,"Confirmed per supplier declaration for cas no. , evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for cas no. , evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000174,wrong-option,over-verbose,"Confirmed per supplier declaration for cas no. , evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for cas no. , evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000177,stale,over-verbose,"Confirmed per supplier declaration for substance name, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for substance name, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000184,vague-freetext,over-verbose,"Confirmed per supplier declaration for additional information
source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., iscc, mass balanced), measuring method, etc., evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for additional information
source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., iscc, mass balanced), measuring method, etc., evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000187,wrong-format,over-verbose,"Confirmed per supplier declaration for substance concentration (in %), evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for substance concentration (in %), evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000198,vague-freetext,over-verbose,Supplier declaration and material declaration,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Supplier declaration and material declaration. Let us know if anything else is needed.",,,1,Closed
R000199,wrong-option,over-verbose,Exempt,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Exempt. Let us know if anything else is needed.",,,1,Closed
R000201,placeholder,over-verbose,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for declaration of comformidity, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000205,vague-freetext,over-verbose,Material declaration and laboratory ananlysis,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Material declaration and laboratory ananlysis. Let us know if anything else is needed.",,,1,Closed
R000206,stale,over-verbose,Exempt,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Exempt. Let us know if anything else is needed.",,,1,Closed
R000208,placeholder,over-verbose,Supplier declaration and laboratory analysis,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Supplier declaration and laboratory analysis. Let us know if anything else is needed.",,,1,Closed
R000211,wrong-option,over-verbose,Supplier declaration and material declaration,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Supplier declaration and material declaration. Let us know if anything else is needed.",,,1,Closed
R000212,wrong-option,over-verbose,Complaint,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Complaint. Let us know if anything else is needed.",,,1,Closed
R000213,blank,over-verbose,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for declaration of comformidity, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000217,placeholder,over-verbose,Material declaration,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Material declaration. Let us know if anything else is needed.",,,1,Closed
R000218,vague-freetext,over-verbose,Complaint,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Complaint. Let us know if anything else is needed.",,,1,Closed
R000220,wrong-format,over-verbose,Presumption (without evidence),"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Presumption (without evidence). Let us know if anything else is needed.",,,1,Closed
R000221,placeholder,over-verbose,Not Listed,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Not Listed. Let us know if anything else is needed.",,,1,Closed
R000223,placeholder,over-verbose,Laboratory analysis,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Laboratory analysis. Let us know if anything else is needed.",,,1,Closed
R000224,wrong-option,over-verbose,Complaint,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Complaint. Let us know if anything else is needed.",,,1,Closed
R000225,wrong-format,over-verbose,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for declaration of comformidity, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000227,wrong-format,over-verbose,Complaint,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Complaint. Let us know if anything else is needed.",,,1,Closed
R000229,vague-freetext,over-verbose,Laboratory analysis,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Laboratory analysis. Let us know if anything else is needed.",,,1,Closed
R000231,placeholder,over-verbose,"Confirmed per supplier declaration for if yes, please list all inlcuded halogens with their cas numbers and concentrations:, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for if yes, please list all inlcuded halogens with their cas numbers and concentrations:, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000232,stale,over-verbose,Supplier declaration,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Supplier declaration. Let us know if anything else is needed.",,,1,Closed
R000233,wrong-option,over-verbose,Not Compliant,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Not Compliant. Let us know if anything else is needed.",,,1,Closed
R000234,vague-freetext,over-verbose,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for declaration of comformidity, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000237,wrong-format,over-verbose,Not Compliant,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Not Compliant. Let us know if anything else is needed.",,,1,Closed
R000238,blank,over-verbose,"Confirmed per supplier declaration for please list all included substances of animal origin or ethanol with their cas numbers and concentrations:, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for please list all included substances of animal origin or ethanol with their cas numbers and concentrations:, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000239,vague-freetext,over-verbose,Material declaration and laboratory ananlysis,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Material declaration and laboratory ananlysis. Let us know if anything else is needed.",,,1,Closed
R000240,wrong-option,over-verbose,Yes,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Yes. Let us know if anything else is needed.",,,1,Closed
R000241,wrong-format,over-verbose,"Confirmed per supplier declaration for please list all included phthalates except those which are mentioned in annex xvii reach (entry 51) with their cas numbers and concentrations:, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for please list all included phthalates except those which are mentioned in annex xvii reach (entry 51) with their cas numbers and concentrations:, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000247,wrong-format,over-verbose,"Confirmed per supplier declaration for please list all included antimony compounds with their cas numbers and concentrations:, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for please list all included antimony compounds with their cas numbers and concentrations:, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000256,blank,over-verbose,"Confirmed per supplier declaration for if yes, which particle size?
please list the particle size of the nano substance:, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for if yes, which particle size?
please list the particle size of the nano substance:, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000257,placeholder,over-verbose,Supplier declaration and laboratory analysis,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Supplier declaration and laboratory analysis. Let us know if anything else is needed.",,,1,Closed
R000259,stale,over-verbose,"Confirmed per supplier declaration for if it is a biocidal product in which country has this product been registered or authorized for which product type?
list of registered countries and product type:, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for if it is a biocidal product in which country has this product been registered or authorized for which product type?
list of registered countries and product type:, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000260,blank,over-verbose,Material declaration and laboratory ananlysis,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Material declaration and laboratory ananlysis. Let us know if anything else is needed.",,,1,Closed
R000261,stale,over-verbose,Not Compliant,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Not Compliant. Let us know if anything else is needed.",,,1,Closed
R000265,vague-freetext,over-verbose,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for declaration of comformidity, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000270,stale,over-verbose,Supplier declaration,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Supplier declaration. Let us know if anything else is needed.",,,1,Closed
R000272,placeholder,over-verbose,This product does contain GADSL listet substances,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: This product does contain GADSL listet substances. Let us know if anything else is needed.",,,1,Closed
R000279,blank,over-verbose,"Confirmed per supplier declaration for please list all included food allergens with their cas numbers and concentrations:, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for please list all included food allergens with their cas numbers and concentrations:, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000284,stale,over-verbose,Complaint,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Complaint. Let us know if anything else is needed.",,,1,Closed
R000295,placeholder,over-verbose,Material declaration,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Material declaration. Let us know if anything else is needed.",,,1,Closed
R000296,blank,over-verbose,Complaint,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Complaint. Let us know if anything else is needed.",,,1,Closed
R000298,stale,over-verbose,Presumption (without evidence),"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Presumption (without evidence). Let us know if anything else is needed.",,,1,Closed
R000301,wrong-option,over-verbose,Supplier declaration and laboratory analysis,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Supplier declaration and laboratory analysis. Let us know if anything else is needed.",,,1,Closed
R000302,vague-freetext,over-verbose,Complaint,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Complaint. Let us know if anything else is needed.",,,1,Closed
R000304,wrong-option,over-verbose,Supplier declaration and laboratory analysis,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Supplier declaration and laboratory analysis. Let us know if anything else is needed.",,,1,Closed
R000312,vague-freetext,over-verbose,"Confirmed per supplier declaration for substance, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for substance, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000316,blank,over-verbose,Supplier declaration and material declaration,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Supplier declaration and material declaration. Let us know if anything else is needed.",,,1,Closed
R000317,vague-freetext,over-verbose,Complaint,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Complaint. Let us know if anything else is needed.",,,1,Closed
R000319,wrong-format,over-verbose,Material declaration,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Material declaration. Let us know if anything else is needed.",,,1,Closed
R000320,wrong-option,over-verbose,Complaint,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Complaint. Let us know if anything else is needed.",,,1,Closed
R000321,blank,over-verbose,"Confirmed per supplier declaration for substance, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for substance, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000323,placeholder,over-verbose,Not Compliant,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Not Compliant. Let us know if anything else is needed.",,,1,Closed
R000326,vague-freetext,over-verbose,Not Compliant,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Not Compliant. Let us know if anything else is needed.",,,1,Closed
