Row ID,Supplier ID,Supplier Name,NART,Use case,Module (ID),Category,Section,Field (label),Field Type,Required @ go-live,Editable by supplier,Value submitted,Submission date,Status,Region,Industry
DEMO20-05-F3,DEMO20-05,Demo Ember Components,DEMO20-05-ARTICLE,MDF,DEMO,Industrial,Outdated energy sourcing statement,Product family confirmation,Freetext,Yes,yes,Demo product family 05,2025-01-15,Complete,AMER,Industrial
DEMO20-06-F1,DEMO20-06,Demo Fern Motors,DEMO20-06-ARTICLE,MDF,DEMO,Automotive,Missing product weight,Net product weight,Freetext,Yes,yes,,,Missing,APAC,Automotive
DEMO20-06-F2,DEMO20-06,Demo Fern Motors,DEMO20-06-ARTICLE,MDF,DEMO,Automotive,Missing product weight,Supporting evidence reference,Freetext,Yes,yes,,,Missing,APAC,Automotive
DEMO20-06-F3,DEMO20-06,Demo Fern Motors,DEMO20-06-ARTICLE,MDF,DEMO,Automotive,Missing product weight,Product family confirmation,Freetext,Yes,yes,Demo product family 06,2025-01-15,Complete,APAC,Automotive
DEMO20-07-F1,DEMO20-07,Demo Grove Packs,DEMO20-07-ARTICLE,MDF,DEMO,Packaging,Packaging weight needs confirmation,Packaging weight per unit,Freetext,Yes,yes,Reported as 120 g and 150 g,2025-01-15,Flagged (needs supplier confirmation),AMER,Packaging
DEMO20-07-F2,DEMO20-07,Demo Grove Packs,DEMO20-07-ARTICLE,MDF,DEMO,Packaging,Packaging weight needs confirmation,Supporting evidence reference,Freetext,Yes,yes,,,Missing,AMER,Packaging
DEMO20-07-F3,DEMO20-07,Demo Grove Packs,DEMO20-07-ARTICLE,MDF,DEMO,Packaging,Packaging weight needs confirmation,Product family confirmation,Freetext,Yes,yes,Demo product family 07,2025-01-15,Complete,AMER,Packaging
DEMO20-08-F1,DEMO20-08,Demo Harbor Sensors,DEMO20-08-ARTICLE,MDF,DEMO,Electronics,Expired calibration evidence,Calibration certificate valid until,Date,Yes,yes,2025-12-31,2025-01-15,Outdated,EMEA,Electronics
DEMO20-08-F2,DEMO20-08,Demo Harbor Sensors,DEMO20-08-ARTICLE,MDF,DEMO,Electronics,Expired calibration evidence,Supporting evidence reference,Freetext,Yes,yes,,,Missing,EMEA,Electronics
DEMO20-08-F3,DEMO20-08,Demo Harbor Sensors,DEMO20-08-ARTICLE,MDF,DEMO,Electronics,Expired calibration evidence,Product family confirmation,Freetext,Yes,yes,Demo product family 08,2025-01-15,Complete,EMEA,Electronics
DEMO20-09-F1,DEMO20-09,Demo Iris Weaving,DEMO20-09-ARTICLE,MDF,DEMO,Textiles,Missing fibre composition,Fibre composition,Freetext,Yes,yes,,,Missing,LATAM,Textiles
DEMO20-09-F2,DEMO20-09,Demo Iris Weaving,DEMO20-09-ARTICLE,MDF,DEMO,Textiles,Missing fibre composition,Supporting evidence reference,Freetext,Yes,yes,,,Missing,LATAM,Textiles
DEMO20-09-F3,DEMO20-09,Demo Iris Weaving,DEMO20-09-ARTICLE,MDF,DEMO,Textiles,Missing fibre composition,Product family confirmation,Freetext,Yes,yes,Demo product family 09,2025-01-15,Complete,LATAM,Textiles
DEMO20-10-F1,DEMO20-10,Demo Juniper Tools,DEMO20-10-ARTICLE,MDF,DEMO,Industrial,Reporting period needs confirmation,Reporting year,Freetext,Yes,yes,2024 or 2025,2025-01-15,Flagged (needs supplier confirmation),EMEA,Industrial
DEMO20-10-F2,DEMO20-10,Demo Juniper Tools,DEMO20-10-ARTICLE,MDF,DEMO,Industrial,Reporting period needs confirmation,Supporting evidence reference,Freetext,Yes,yes,,,Missing,EMEA,Industrial
DEMO20-10-F3,DEMO20-10,Demo Juniper Tools,DEMO20-10-ARTICLE,MDF,DEMO,Industrial,Reporting period needs confirmation,Product family confirmation,Freetext,Yes,yes,Demo product family 10,2025-01-15,Complete,EMEA,Industrial
DEMO20-11-F1,DEMO20-11,Demo Kestrel Mobility,DEMO20-11-ARTICLE,MDF,DEMO,Automotive,Missing manufacturing site,Manufacturing site reference,Freetext,Yes,yes,,,Missing,AMER,Automotive
DEMO20-11-F2,DEMO20-11,Demo Kestrel Mobility,DEMO20-11-ARTICLE,MDF,DEMO,Automotive,Missing manufacturing site,Supporting evidence reference,Freetext,Yes,yes,,,Missing,AMER,Automotive
DEMO20-11-F3,DEMO20-11,Demo Kestrel Mobility,DEMO20-11-ARTICLE,MDF,DEMO,Automotive,Missing manufacturing site,Product family confirmation,Freetext,Yes,yes,Demo product family 11,2025-01-15,Complete,AMER,Automotive
DEMO20-12-F1,DEMO20-12,Demo Linden Cartons,DEMO20-12-ARTICLE,MDF,DEMO,Packaging,Outdated packaging composition,Packaging material composition,Freetext,Yes,yes,Mixed plastic packaging,2025-01-15,Outdated,LATAM,Packaging
DEMO20-12-F2,DEMO20-12,Demo Linden Cartons,DEMO20-12-ARTICLE,MDF,DEMO,Packaging,Outdated packaging composition,Supporting evidence reference,Freetext,Yes,yes,,,Missing,LATAM,Packaging
DEMO20-12-F3,DEMO20-12,Demo Linden Cartons,DEMO20-12-ARTICLE,MDF,DEMO,Packaging,Outdated packaging composition,Product family confirmation,Freetext,Yes,yes,Demo product family 12,2025-01-15,Complete,LATAM,Packaging
DEMO20-13-F1,DEMO20-13,Demo Maple Devices,DEMO20-13-ARTICLE,MDF,DEMO,Electronics,Product lifetime needs clarification,Expected product lifetime,Freetext,Yes,yes,5 years or 50000 hours,2025-01-15,Flagged (needs supplier confirmation),AMER,Electronics
DEMO20-13-F2,DEMO20-13,Demo Maple Devices,DEMO20-13-ARTICLE,MDF,DEMO,Electronics,Product lifetime needs clarification,Supporting evidence reference,Freetext,Yes,yes,,,Missing,AMER,Electronics
DEMO20-13-F3,DEMO20-13,Demo Maple Devices,DEMO20-13-ARTICLE,MDF,DEMO,Electronics,Product lifetime needs clarification,Product family confirmation,Freetext,Yes,yes,Demo product family 13,2025-01-15,Complete,AMER,Electronics
DEMO20-14-F1,DEMO20-14,Demo Nacre Textiles,DEMO20-14-ARTICLE,MDF,DEMO,Textiles,Missing water consumption data,Water consumption per product,Freetext,Yes,yes,,,Missing,EMEA,Textiles
DEMO20-14-F2,DEMO20-14,Demo Nacre Textiles,DEMO20-14-ARTICLE,MDF,DEMO,Textiles,Missing water consumption data,Supporting evidence reference,Freetext,Yes,yes,,,Missing,EMEA,Textiles
DEMO20-14-F3,DEMO20-14,Demo Nacre Textiles,DEMO20-14-ARTICLE,MDF,DEMO,Textiles,Missing water consumption data,Product family confirmation,Freetext,Yes,yes,Demo product family 14,2025-01-15,Complete,EMEA,Textiles
DEMO20-15-F1,DEMO20-15,Demo Orchard Machines,DEMO20-15-ARTICLE,MDF,DEMO,Industrial,Outdated transport information,Primary transport mode,Freetext,Yes,yes,Air freight,2025-01-15,Outdated,LATAM,Industrial
DEMO20-15-F2,DEMO20-15,Demo Orchard Machines,DEMO20-15-ARTICLE,MDF,DEMO,Industrial,Outdated transport information,Supporting evidence reference,Freetext,Yes,yes,,,Missing,LATAM,Industrial
DEMO20-15-F3,DEMO20-15,Demo Orchard Machines,DEMO20-15-ARTICLE,MDF,DEMO,Industrial,Outdated transport information,Product family confirmation,Freetext,Yes,yes,Demo product family 15,2025-01-15,Complete,LATAM,Industrial
DEMO20-16-F1,DEMO20-16,Demo Pine Drive,DEMO20-16-ARTICLE,MDF,DEMO,Automotive,Recycled metal claim needs confirmation,Recycled aluminium content,Freetext,Yes,yes,Unverified 80% recycled aluminium,2025-01-15,Flagged (needs supplier confirmation),LATAM,Automotive
DEMO20-16-F2,DEMO20-16,Demo Pine Drive,DEMO20-16-ARTICLE,MDF,DEMO,Automotive,Recycled metal claim needs confirmation,Supporting evidence reference,Freetext,Yes,yes,,,Missing,LATAM,Automotive
DEMO20-16-F3,DEMO20-16,Demo Pine Drive,DEMO20-16-ARTICLE,MDF,DEMO,Automotive,Recycled metal claim needs confirmation,Product family confirmation,Freetext,Yes,yes,Demo product family 16,2025-01-15,Complete,LATAM,Automotive
DEMO20-17-F1,DEMO20-17,Demo Quartz Wrapping,DEMO20-17-ARTICLE,MDF,DEMO,Packaging,Missing end-of-life guidance,Disposal and recycling instructions,Freetext,Yes,yes,,,Missing,APAC,Packaging
DEMO20-17-F2,DEMO20-17,Demo Quartz Wrapping,DEMO20-17-ARTICLE,MDF,DEMO,Packaging,Missing end-of-life guidance,Supporting evidence reference,Freetext,Yes,yes,,,Missing,APAC,Packaging
DEMO20-17-F3,DEMO20-17,Demo Quartz Wrapping,DEMO20-17-ARTICLE,MDF,DEMO,Packaging,Missing end-of-life guidance,Product family confirmation,Freetext,Yes,yes,Demo product family 17,2025-01-15,Complete,APAC,Packaging
DEMO20-18-F1,DEMO20-18,Demo Reed Controls,DEMO20-18-ARTICLE,MDF,DEMO,Electronics,Outdated certificate expiry,Environmental certificate valid until,Date,Yes,yes,2026-03-31,2025-01-15,Outdated,LATAM,Electronics
DEMO20-18-F2,DEMO20-18,Demo Reed Controls,DEMO20-18-ARTICLE,MDF,DEMO,Electronics,Outdated certificate expiry,Supporting evidence reference,Freetext,Yes,yes,,,Missing,LATAM,Electronics
DEMO20-18-F3,DEMO20-18,Demo Reed Controls,DEMO20-18-ARTICLE,MDF,DEMO,Electronics,Outdated certificate expiry,Product family confirmation,Freetext,Yes,yes,Demo product family 18,2025-01-15,Complete,LATAM,Electronics
DEMO20-19-F1,DEMO20-19,Demo Spruce Fibres,DEMO20-19-ARTICLE,MDF,DEMO,Textiles,Origin claim needs clarification,Fibre origin statement,Freetext,Yes,yes,Two origin declarations conflict,2025-01-15,Flagged (needs supplier confirmation),AMER,Textiles
DEMO20-19-F2,DEMO20-19,Demo Spruce Fibres,DEMO20-19-ARTICLE,MDF,DEMO,Textiles,Origin claim needs clarification,Supporting evidence reference,Freetext,Yes,yes,,,Missing,AMER,Textiles
DEMO20-19-F3,DEMO20-19,Demo Spruce Fibres,DEMO20-19-ARTICLE,MDF,DEMO,Textiles,Origin claim needs clarification,Product family confirmation,Freetext,Yes,yes,Demo product family 19,2025-01-15,Complete,AMER,Textiles
DEMO20-20-F1,DEMO20-20,Demo Willow Systems,DEMO20-20-ARTICLE,MDF,DEMO,Industrial,Missing maintenance instructions,Maintenance interval,Freetext,Yes,yes,,,Missing,APAC,Industrial
DEMO20-20-F2,DEMO20-20,Demo Willow Systems,DEMO20-20-ARTICLE,MDF,DEMO,Industrial,Missing maintenance instructions,Supporting evidence reference,Freetext,Yes,yes,,,Missing,APAC,Industrial
DEMO20-20-F3,DEMO20-20,Demo Willow Systems,DEMO20-20-ARTICLE,MDF,DEMO,Industrial,Missing maintenance instructions,Product family confirmation,Freetext,Yes,yes,Demo product family 20,2025-01-15,Complete,APAC,Industrial
